,Type,num_beams,gen_length,cost
0,beam_sample,1,20,0.10955476760864258
1,beam_search,1,20,0.10703897476196289
2,sample,1,20,0.1105356216430664
3,greedy_search,1,20,0.10788917541503906
4,beam_sample,1,25,0.21950340270996094
5,beam_search,1,25,0.21448111534118652
6,sample,1,25,0.2190403938293457
7,greedy_search,1,25,0.21402645111083984
8,beam_sample,1,30,0.3223836421966553
9,beam_search,1,30,0.31357741355895996
10,sample,1,30,0.3230416774749756
11,greedy_search,1,30,0.32438135147094727
12,beam_sample,1,35,0.4234459400177002
13,beam_search,1,35,0.411470890045166
14,sample,1,35,0.42595744132995605
15,greedy_search,1,35,0.41188645362854004
16,beam_sample,1,40,0.527660608291626
17,beam_search,1,40,0.5139689445495605
18,sample,1,40,0.5294597148895264
19,greedy_search,1,40,0.5129764080047607
20,beam_sample,1,45,0.6363177299499512
21,beam_search,1,45,0.6173374652862549
22,sample,1,45,0.6525888442993164
23,greedy_search,1,45,0.6692795753479004
24,beam_sample,1,50,0.7546234130859375
25,beam_search,1,50,0.7317819595336914
26,sample,1,50,0.7739031314849854
27,greedy_search,1,50,0.7808701992034912
28,beam_sample,6,20,0.1291217803955078
29,beam_search,6,20,0.12399435043334961
30,sample,6,20,0.6568546295166016
31,greedy_search,6,20,0.638775110244751
32,beam_sample,6,25,0.2559072971343994
33,beam_search,6,25,0.24242401123046875
34,sample,6,25,1.303762435913086
35,greedy_search,6,25,1.2762579917907715
36,beam_sample,6,30,0.3754279613494873
37,beam_search,6,30,0.3563518524169922
38,sample,6,30,2.0096747875213623
39,greedy_search,6,30,1.9380011558532715
40,beam_sample,6,35,0.5021693706512451
41,beam_search,6,35,0.48025989532470703
42,sample,6,35,2.6714231967926025
43,greedy_search,6,35,2.5596675872802734
44,beam_sample,6,40,0.642261266708374
45,beam_search,6,40,0.6059672832489014
46,sample,6,40,3.2918758392333984
47,greedy_search,6,40,3.225623846054077
48,beam_sample,6,45,0.7711842060089111
49,beam_search,6,45,0.7328531742095947
50,sample,6,45,3.9814257621765137
51,greedy_search,6,45,3.9097824096679688
52,beam_sample,6,50,0.8830392360687256
53,beam_search,6,50,0.851304292678833
54,sample,6,50,4.488011837005615
55,greedy_search,6,50,4.425748825073242
56,beam_sample,11,20,0.14006638526916504
57,beam_search,11,20,0.1298675537109375
58,sample,11,20,1.194838523864746
59,greedy_search,11,20,1.1643664836883545
60,beam_sample,11,25,0.27898120880126953
61,beam_search,11,25,0.25621628761291504
62,sample,11,25,2.3977866172790527
63,greedy_search,11,25,2.353233814239502
64,beam_sample,11,30,0.4092683792114258
65,beam_search,11,30,0.37708139419555664
66,sample,11,30,3.6710524559020996
67,greedy_search,11,30,3.5343246459960938
68,beam_sample,11,35,0.5445272922515869
69,beam_search,11,35,0.5026581287384033
70,sample,11,35,4.742708206176758
71,greedy_search,11,35,4.707294225692749
72,beam_sample,11,40,0.6835365295410156
73,beam_search,11,40,0.6198282241821289
74,sample,11,40,5.898645639419556
75,greedy_search,11,40,5.866743326187134
76,beam_sample,11,45,0.8055422306060791
77,beam_search,11,45,0.7532298564910889
78,sample,11,45,7.0945703983306885
79,greedy_search,11,45,6.935318231582642
80,beam_sample,11,50,0.9483275413513184
81,beam_search,11,50,0.8999764919281006
82,sample,11,50,8.283552408218384
83,greedy_search,11,50,8.07698130607605
84,beam_sample,16,20,0.15216445922851562
85,beam_search,16,20,0.13752532005310059
86,sample,16,20,1.759150743484497
87,greedy_search,16,20,1.7151641845703125
88,beam_sample,16,25,0.2913827896118164
89,beam_search,16,25,0.2618987560272217
90,sample,16,25,3.5965468883514404
91,greedy_search,16,25,3.439584970474243
92,beam_sample,16,30,0.4308650493621826
93,beam_search,16,30,0.3882110118865967
94,sample,16,30,5.129672288894653
95,greedy_search,16,30,4.971829652786255
96,beam_sample,16,35,0.5840387344360352
97,beam_search,16,35,0.5224215984344482
98,sample,16,35,6.966929197311401
99,greedy_search,16,35,6.769972085952759
100,beam_sample,16,40,0.7319331169128418
101,beam_search,16,40,0.6687707901000977
102,sample,16,40,8.571549415588379
103,greedy_search,16,40,8.43258023262024
104,beam_sample,16,45,0.8725438117980957
105,beam_search,16,45,0.7852432727813721
106,sample,16,45,10.458131790161133
107,greedy_search,16,45,10.09649109840393
108,beam_sample,16,50,1.0165400505065918
109,beam_search,16,50,0.9092111587524414
110,sample,16,50,12.206043004989624
111,greedy_search,16,50,11.855309009552002
